time,temperature_2m,relative_humidity_2m,precipitation,city
2026-08-26 04:00:00,21.4,90,0.0,Mysuru
2026-08-26 05:00:00,21.5,89,0.0,Mysuru
2026-08-26 06:00:00,22.0,87,0.0,Mysuru
2026-08-26 07:00:00,22.7,82,0.0,Mysuru
2026-08-26 08:00:00,23.5,78,0.0,Mysuru
2026-08-26 09:00:00,24.4,74,0.1,Mysuru
2026-08-26 10:00:00,25.5,70,0.1,Mysuru
2026-08-26 11:00:00,26.2,67,0.1,Mysuru
2026-08-26 12:00:00,27.1,64,0.4,Mysuru
2026-08-26 13:00:00,27.2,64,0.4,Mysuru
2026-08-26 14:00:00,27.1,64,0.4,Mysuru
2026-08-26 15:00:00,26.8,65,0.4,Mysuru
2026-08-26 16:00:00,26.5,66,0.4,Mysuru
2026-08-26 17:00:00,26.1,68,0.4,Mysuru
2026-08-26 18:00:00,25.6,70,0.0,Mysuru
2026-08-26 19:00:00,24.8,74,0.0,Mysuru
2026-08-26 20:00:00,23.9,78,0.0,Mysuru
2026-08-26 21:00:00,23.0,82,0.0,Mysuru
2026-08-26 22:00:00,22.3,87,0.0,Mysuru
2026-08-26 23:00:00,21.7,90,0.0,Mysuru
2026-08-20 00:00:00,24.4,88,0.1,Hyderabad
2026-08-20 01:00:00,24.0,89,0.3,Hyderabad
2026-08-20 02:00:00,23.0,91,0.6,Hyderabad
2026-08-20 03:00:00,23.3,90,0.1,Hyderabad
2026-08-20 04:00:00,23.6,89,0.0,Hyderabad
2026-08-20 05:00:00,23.4,89,0.0,Hyderabad
2026-08-20 06:00:00,23.4,87,0.0,Hyderabad
2026-08-20 07:00:00,24.4,82,0.0,Hyderabad
2026-08-20 08:00:00,25.5,75,0.0,Hyderabad
2026-08-20 09:00:00,26.9,68,0.0,Hyderabad
2026-08-20 10:00:00,28.1,61,0.0,Hyderabad
2026-08-20 11:00:00,28.6,58,0.0,Hyderabad
2026-08-20 12:00:00,29.4,54,0.0,Hyderabad
2026-08-20 13:00:00,30.0,50,0.0,Hyderabad
2026-08-20 14:00:00,30.0,50,0.0,Hyderabad
2026-08-20 15:00:00,30.0,51,0.0,Hyderabad
2026-08-20 16:00:00,30.3,50,0.0,Hyderabad
2026-08-20 17:00:00,29.5,53,0.0,Hyderabad
2026-08-20 18:00:00,27.9,63,0.0,Hyderabad
2026-08-20 19:00:00,27.0,69,0.0,Hyderabad
2026-08-20 20:00:00,26.5,72,0.0,Hyderabad
2026-08-20 21:00:00,25.9,76,0.0,Hyderabad
2026-08-20 22:00:00,25.6,78,0.0,Hyderabad
2026-08-20 23:00:00,25.3,79,0.0,Hyderabad
2026-08-21 00:00:00,25.3,78,0.0,Hyderabad
2026-08-21 01:00:00,25.0,79,0.0,Hyderabad
2026-08-21 02:00:00,24.9,78,0.0,Hyderabad
2026-08-21 03:00:00,24.6,80,0.0,Hyderabad
2026-08-21 04:00:00,24.3,81,0.0,Hyderabad
2026-08-21 05:00:00,23.9,82,0.0,Hyderabad
2026-08-21 06:00:00,23.7,82,0.0,Hyderabad
2026-08-21 07:00:00,24.4,77,0.0,Hyderabad
2026-08-21 08:00:00,25.7,72,0.0,Hyderabad
2026-08-21 09:00:00,27.3,64,0.0,Hyderabad
2026-08-21 10:00:00,28.4,59,0.0,Hyderabad
2026-08-21 11:00:00,29.6,53,0.0,Hyderabad
2026-08-21 12:00:00,30.0,50,0.0,Hyderabad
2026-08-21 13:00:00,30.6,48,0.0,Hyderabad
2026-08-21 14:00:00,31.0,47,0.0,Hyderabad
2026-08-21 15:00:00,31.2,46,0.0,Hyderabad
2026-08-21 16:00:00,31.0,46,0.0,Hyderabad
2026-08-21 17:00:00,30.4,49,0.0,Hyderabad
2026-08-21 18:00:00,29.1,58,0.0,Hyderabad
2026-08-21 19:00:00,28.1,65,0.0,Hyderabad
2026-08-21 20:00:00,27.6,66,0.0,Hyderabad
2026-08-21 21:00:00,26.9,70,0.0,Hyderabad
2026-08-21 22:00:00,26.2,72,0.0,Hyderabad
2026-08-21 23:00:00,25.4,75,0.2,Hyderabad
2026-08-22 00:00:00,25.1,77,0.0,Hyderabad
2026-08-22 01:00:00,24.8,76,0.0,Hyderabad
2026-08-22 02:00:00,24.5,78,0.0,Hyderabad
2026-08-22 03:00:00,24.1,80,0.0,Hyderabad
2026-08-22 04:00:00,23.8,82,0.0,Hyderabad
2026-08-22 05:00:00,23.5,83,0.0,Hyderabad
2026-08-22 06:00:00,23.3,83,0.0,Hyderabad
2026-08-22 07:00:00,24.1,79,0.0,Hyderabad
2026-08-22 08:00:00,25.4,72,0.0,Hyderabad
2026-08-22 09:00:00,26.4,68,0.0,Hyderabad
2026-08-22 10:00:00,27.4,63,0.0,Hyderabad
2026-08-22 11:00:00,29.3,55,0.0,Hyderabad
2026-08-22 12:00:00,30.0,51,0.0,Hyderabad
2026-08-22 13:00:00,30.7,49,0.2,Hyderabad
2026-08-22 14:00:00,31.0,48,0.3,Hyderabad
2026-08-22 15:00:00,30.8,49,0.4,Hyderabad
2026-08-22 16:00:00,30.4,51,0.2,Hyderabad
2026-08-22 17:00:00,29.1,58,0.0,Hyderabad
2026-08-22 18:00:00,28.2,65,0.0,Hyderabad
2026-08-22 19:00:00,27.3,70,0.0,Hyderabad
2026-08-22 20:00:00,26.9,73,0.0,Hyderabad
2026-08-22 21:00:00,26.6,72,0.0,Hyderabad
2026-08-22 22:00:00,26.0,74,0.0,Hyderabad
2026-08-22 23:00:00,25.4,77,0.0,Hyderabad
2026-08-23 00:00:00,24.8,80,0.0,Hyderabad
2026-08-23 01:00:00,24.4,82,0.0,Hyderabad
2026-08-23 02:00:00,24.3,82,0.0,Hyderabad
2026-08-23 03:00:00,24.1,83,0.0,Hyderabad
2026-08-23 04:00:00,23.9,84,0.0,Hyderabad
2026-08-23 05:00:00,23.6,84,0.0,Hyderabad
2026-08-23 06:00:00,23.5,85,0.0,Hyderabad
2026-08-23 07:00:00,24.4,80,0.0,Hyderabad
2026-08-23 08:00:00,26.0,72,0.0,Hyderabad
2026-08-23 09:00:00,26.8,68,0.1,Hyderabad
2026-08-23 10:00:00,28.3,62,0.1,Hyderabad
2026-08-23 11:00:00,29.5,56,0.2,Hyderabad
2026-08-23 12:00:00,30.6,50,0.2,Hyderabad
2026-08-23 13:00:00,31.1,48,0.4,Hyderabad
2026-08-23 14:00:00,29.4,58,1.3,Hyderabad
2026-08-23 15:00:00,30.3,59,0.2,Hyderabad
2026-08-23 16:00:00,25.5,84,3.3,Hyderabad
2026-08-23 17:00:00,25.4,85,1.1,Hyderabad
2026-08-23 18:00:00,24.9,87,0.6,Hyderabad
2026-08-23 19:00:00,24.9,89,0.0,Hyderabad
2026-08-23 20:00:00,24.9,88,0.1,Hyderabad
2026-08-23 21:00:00,24.6,88,0.0,Hyderabad
2026-08-23 22:00:00,24.4,88,0.0,Hyderabad
2026-08-23 23:00:00,24.3,89,0.0,Hyderabad
2026-08-24 00:00:00,24.4,89,0.1,Hyderabad
2026-08-24 01:00:00,24.3,89,0.1,Hyderabad
2026-08-24 02:00:00,24.0,88,0.0,Hyderabad
2026-08-24 03:00:00,23.6,89,0.1,Hyderabad
2026-08-24 04:00:00,23.5,89,0.0,Hyderabad
2026-08-24 05:00:00,23.3,89,0.0,Hyderabad
2026-08-24 06:00:00,23.7,87,0.0,Hyderabad
2026-08-24 07:00:00,24.4,83,0.0,Hyderabad
2026-08-24 08:00:00,25.3,78,0.0,Hyderabad
2026-08-24 09:00:00,26.5,71,0.1,Hyderabad
2026-08-24 10:00:00,27.8,65,0.1,Hyderabad
2026-08-24 11:00:00,29.0,60,0.1,Hyderabad
2026-08-24 12:00:00,29.8,56,0.2,Hyderabad
2026-08-24 13:00:00,30.4,54,0.2,Hyderabad
2026-08-24 14:00:00,30.5,53,0.2,Hyderabad
2026-08-24 15:00:00,30.1,56,0.5,Hyderabad
2026-08-24 16:00:00,29.3,62,0.5,Hyderabad
2026-08-24 17:00:00,28.5,67,0.5,Hyderabad
2026-08-24 18:00:00,27.7,72,0.1,Hyderabad
2026-08-24 19:00:00,27.0,76,0.1,Hyderabad
2026-08-24 20:00:00,26.3,79,0.1,Hyderabad
2026-08-24 21:00:00,25.8,82,0.1,Hyderabad
2026-08-24 22:00:00,25.3,83,0.1,Hyderabad
2026-08-24 23:00:00,24.9,84,0.1,Hyderabad
2026-08-25 00:00:00,24.6,84,0.0,Hyderabad
2026-08-25 01:00:00,24.5,84,0.0,Hyderabad
2026-08-25 02:00:00,24.4,84,0.0,Hyderabad
2026-08-25 03:00:00,24.0,85,0.0,Hyderabad
2026-08-25 04:00:00,23.7,86,0.0,Hyderabad
2026-08-25 05:00:00,23.6,86,0.0,Hyderabad
2026-08-25 06:00:00,23.9,84,0.0,Hyderabad
2026-08-25 07:00:00,24.5,81,0.0,Hyderabad
2026-08-25 08:00:00,25.2,77,0.0,Hyderabad
2026-08-25 09:00:00,26.3,72,0.1,Hyderabad
2026-08-25 10:00:00,27.5,67,0.1,Hyderabad
